,addr,scp,car_sum
1,[ 0 43],3.7326420847237936,3.0
5,[44 35],10.33692051479268,6.0
7,[83  6],4.201574750415278,2.0
8,[42 66],12.917231038753318,8.0
10,[11 52],5.557431794998818,5.0
11,[ 0 91],5.175093567451562,3.0
13,[81 20],7.802748801364138,5.0
14,[60 49],8.57049136290102,6.0
15,[95 72],5.458126079489784,5.0
16,[73 15],7.392999191424445,4.0
18,[17 86],6.379807295785792,4.0
19,[93 17],5.61317555284742,4.0
20,[78  5],7.497347187019475,5.0
21,[35 50],6.1440141271833655,4.0
22,[ 0 68],4.3177680175724005,3.0
23,[99 45],3.0719230468601673,2.0
24,[88 78],4.293623792309994,2.0
25,[62 49],8.52695296815411,4.0
26,[58 46],6.560918478747897,4.0
27,[84  1],6.995851956944848,4.0
28,[75 41],3.865915695214323,2.0
29,[24  8],6.7801584467403,4.0
30,[22 52],10.159810823228968,6.0
31,[21 57],12.46419669929892,8.0
32,[10 46],16.480353138587198,10.0
33,[75 20],5.310957607217244,4.0
35,[61 46],6.597865469601956,5.0
36,[54 43],4.9105667025819795,4.0
37,[93 96],3.0826316574802046,2.0
39,[70  5],3.941508999772492,3.0
40,[31 50],9.901874387573786,8.0
42,[15 83],7.503119549151334,4.0
44,[74 39],3.9848908150355964,3.0
46,[69 24],5.232090337481128,4.0
48,[62 35],8.841152987334649,6.0
50,[75  6],11.976351409971937,7.0
52,[80 42],6.815472259481588,4.0
53,[ 0 84],3.5272119179032466,3.0
54,[64 71],3.55521449925263,2.0
55,[ 5 53],14.314942225735106,10.0
57,[94 87],6.2375998301907,4.0
60,[63 72],9.864892221852692,6.0
62,[99 67],8.129184152880143,4.0
63,[68 45],3.2676976833644984,2.0
64,[93 91],5.1448174747284785,4.0
65,[47 29],8.131251538852133,6.0
66,[ 1 57],7.226885396581505,5.0
68,[61 22],4.017539973756397,2.0
69,[78  9],3.585386905262035,2.0
70,[97 95],3.6790792237807195,3.0
73,[ 9 68],4.044938306966845,3.0
74,[94 88],11.886877930542274,8.0
75,[58 50],14.147915511783346,10.0
76,[50 73],12.074858628519785,8.0
77,[20 73],8.92881972847268,6.0
78,[77 96],5.348676108191059,3.0
79,[ 5 31],3.1032996238351456,2.0
82,[96 95],7.975280465181312,4.0
83,[70 11],8.658593029328852,4.0
84,[38 79],7.434570479911195,4.0
85,[ 4 50],4.937923259264336,4.0
86,[14 51],9.55839916056017,7.0
87,[48 87],4.071510182535503,4.0
88,[74 99],5.574941295534668,5.0
89,[10 88],6.633664186286996,4.0
90,[37 73],9.226675868391506,5.0
91,[54 44],6.622624587703346,4.0
93,[86 82],6.4862191794396,4.0
94,[ 7 41],4.982619781424507,3.0
95,[63 23],18.182444740000996,12.0
96,[70 26],5.201824144718306,3.0
99,[60 86],10.504324849588713,6.0
100,[96 17],6.432878432491628,5.0
101,[44 34],18.48676069188239,12.0
104,[57 96],9.151122566673893,7.0
109,[44 71],10.06214171818458,8.0
110,[34 98],6.137180587009043,4.0
112,[99 17],3.7095150533316086,3.0
113,[38 29],20.92617856515985,12.0
114,[82  3],8.79649175694946,7.0
115,[10 53],10.309652811430222,6.0
116,[93 18],3.7639681864998646,2.0
119,[70 93],7.229397730289815,4.0
121,[72 21],7.471555702958158,5.0
122,[42 42],3.286531604551091,2.0
123,[64 83],3.7414103441860336,2.0
125,[ 7 90],15.07527921862939,10.0
126,[31 56],3.5172724727392266,2.0
127,[73 87],4.992827305397597,4.0
128,[91 74],5.078025095902005,3.0
129,[93 11],13.700876452151226,9.0
130,[23 92],4.8313816180261036,3.0
131,[ 5 96],4.979822638707661,3.0
135,[24  5],7.044994149352366,4.0
138,[10 51],3.233480557681574,2.0
139,[77  4],6.352648082662871,4.0
140,[72 60],5.048457069826734,4.0
141,[ 2 81],6.993967196620333,4.0
142,[61 79],14.057981103725677,8.0
144,[68 70],3.3864061047400633,3.0
145,[58 85],7.995472483862996,6.0
146,[72 16],8.143593544725917,5.0
149,[47 73],3.642101712779457,2.0
150,[31 55],6.878639892362228,4.0
152,[98 59],5.173434795647494,4.0
155,[48 30],7.803270157948345,7.0
156,[65 30],3.4847816381348675,3.0
157,[ 1 14],7.75536556856527,5.0
158,[86 79],3.4226027491514457,2.0
159,[43 68],3.6869767701051064,4.0
160,[73  4],3.1680546716280675,2.0
163,[39 84],4.15156581057391,3.0
164,[49 45],3.8176317324488824,2.0
165,[24 12],8.045752117144154,5.0
166,[37 42],5.459738165441835,4.0
167,[74 16],3.186354837733515,3.0
169,[12 33],7.89616311463149,4.0
170,[40 30],7.742564141245364,4.0
172,[51 78],3.1454294200010917,2.0
173,[39 62],5.385776452589283,4.0
174,[69 68],5.545928937511225,4.0
175,[21  0],3.002642345929315,2.0
176,[45 32],3.152860621893531,2.0
177,[97 89],6.525084976446843,4.0
178,[ 7 52],6.0566503528150974,4.0
180,[ 1 90],11.133629200077566,7.0
181,[ 3 46],9.705857437592101,8.0
182,[ 7 66],3.702911591025505,2.0
183,[39 59],5.118364249345909,3.0
184,[94 32],4.375808036464422,3.0
186,[85 15],9.343856230822018,6.0
188,[39 32],9.43245532214531,6.0
190,[30 55],5.2568770635148425,4.0
192,[24 40],7.253301378376375,4.0
193,[82 24],17.525925543951395,10.0
194,[73 31],3.5076047275462354,2.0
197,[69 34],5.100325135505372,4.0
198,[61 47],3.949301307448993,2.0
200,[74  2],5.008042752111438,4.0
202,[ 3 51],7.961862359598181,6.0
203,[72  2],15.906798047878558,10.0
205,[93 72],7.971782534287598,4.0
206,[ 7 74],6.155620086386019,4.0
208,[21 77],4.6909128598662155,3.0
209,[46 35],7.417846795133391,6.0
210,[39 35],5.680446508832693,4.0
211,[85 29],7.572498785504102,5.0
213,[31 85],6.7628210494683625,5.0
214,[58 29],3.5576024783225995,2.0
216,[77 10],3.84967217589298,2.0
218,[72 18],4.38114751291643,3.0
219,[23 88],3.091601188002884,3.0
220,[33 49],12.156533890519409,8.0
221,[68 11],5.785509637286474,3.0
222,[ 9 38],6.155873703666485,4.0
223,[33 98],8.608356882529847,6.0
225,[67 56],11.79950905624914,9.0
226,[85 28],7.073967741926462,4.0
230,[ 0 65],5.680179805473723,3.0
231,[ 8 91],6.5909095491584875,4.0
232,[59 56],14.576454196816236,8.0
234,[26 48],4.37103394943207,4.0
235,[ 4 53],4.6190155511389985,4.0
238,[34 99],8.596705282201544,6.0
239,[23 48],14.702072538580811,7.0
240,[13 46],3.3940040990747153,2.0
241,[83 21],10.584017490549192,6.0
242,[64 47],9.067246617916428,6.0
243,[38 32],8.101043944024292,6.0
244,[81 95],8.671574962614773,5.0
247,[22 81],5.406996859706965,3.0
249,[76 89],11.891135359060996,7.0
250,[57 53],13.635306412791174,10.0
251,[71 16],12.174988724662915,7.0
253,[67 98],6.623518454954533,4.0
255,[53 72],5.852130656241146,4.0
256,[69 58],7.119659803133212,4.0
260,[99 18],6.718795452982522,5.0
262,[67 51],3.4162599273524776,2.0
264,[ 7 33],5.759067220869338,3.0
265,[67 58],10.884305907828553,7.0
267,[ 0 41],3.579313051404836,2.0
270,[21 74],3.6501979413772085,3.0
271,[23 47],6.672031425615512,4.0
272,[ 5 52],5.3779594019918235,4.0
273,[44 78],4.2717211495202125,3.0
275,[43 33],15.225854072616778,8.0
277,[33 51],10.097011543336919,6.0
278,[ 9 89],13.087653137153918,8.0
279,[47 74],4.828075213556783,4.0
280,[69  9],3.088250218136902,3.0
281,[79 91],3.0971175589055333,2.0
282,[68 73],6.680745059985369,5.0
283,[10 63],6.6791136341992985,4.0
284,[54 73],17.310441291268063,12.0
285,[89 36],4.050572115423913,2.0
286,[96 10],3.887088008351851,3.0
287,[67 34],5.839051878495484,4.0
288,[ 4 48],9.70797937290867,6.0
290,[43 63],13.45566318790177,8.0
