,addr,scp,car_sum
0,[ 1 76],4.63428897697503,3.0
1,[39 77],5.851993093192062,3.0
3,[ 0 81],17.066534304080005,9.0
7,[78 26],3.202289116349909,2.0
9,[97 91],9.772137002981562,6.0
10,[39 32],9.43245532214531,6.0
15,[63 19],6.20294269552625,6.0
16,[96 17],6.432878432491628,5.0
17,[90 86],5.4462036903646265,4.0
18,[ 7 51],11.648931686962564,8.0
21,[67 86],3.281475299088414,2.0
22,[20 85],6.558949437702264,3.0
23,[69 50],7.0466886530503015,5.0
24,[68 48],8.681463065633588,6.0
25,[18 73],3.490846963619388,2.0
27,[56  1],3.7586152855537796,3.0
30,[17 78],4.849310607912467,3.0
32,[23 56],7.938965629047047,6.0
33,[62 51],7.730892946086252,4.0
34,[33 33],3.517658286869588,3.0
35,[73 98],8.781794723862541,5.0
36,[42 32],8.239972461509375,4.0
39,[ 1 24],5.019674351678821,3.0
40,[71 20],6.494619257444637,4.0
41,[57 95],12.993022519032948,9.0
42,[ 0 43],3.7326420847237936,3.0
43,[84 24],8.826767791499835,6.0
44,[67 81],3.0250900771890485,2.0
45,[ 1 71],3.8668730868811485,3.0
47,[82  7],5.845588253150907,4.0
48,[95 26],5.619326903135647,4.0
50,[79 29],7.540711393350561,4.0
51,[19 85],4.020925172241418,2.0
53,[76 17],6.301121573358319,4.0
54,[63 23],18.182444740000996,12.0
56,[15 55],4.615689547275553,5.0
58,[50 75],7.0788050157328355,4.0
60,[ 8 41],6.397274374673017,4.0
61,[97 11],6.109274769927142,4.0
63,[24 56],7.734855026273972,4.0
64,[72 41],11.200032355461907,7.0
65,[ 7 74],6.155620086386019,4.0
66,[42 67],5.9071036775181955,4.0
68,[81 23],3.865284645777289,3.0
69,[43 33],15.225854072616778,8.0
73,[17 53],3.342339837514791,2.0
74,[49 76],9.699259143155961,6.0
76,[93 93],11.180873687857995,7.0
77,[92 95],13.561579324472477,8.0
78,[ 9 93],12.616374278382189,8.0
80,[72 16],8.143593544725917,5.0
81,[24 54],3.1613248385721753,2.0
82,[93 26],3.362641674286909,2.0
84,[90 85],5.609228785934173,3.0
86,[ 6 49],10.424820895427503,6.0
87,[86 78],6.918328750918309,6.0
89,[15 49],4.891238878453417,3.0
91,[83 96],3.9392115562518244,2.0
92,[15 54],8.880598525845853,5.0
93,[44 76],4.189312526557716,2.0
96,[68 26],5.23106448091667,3.0
99,[83  7],5.243935830209029,4.0
100,[99 96],5.588076727641263,4.0
103,[74 82],6.117644302861872,4.0
104,[36 56],6.830324825781047,4.0
105,[39 67],3.0122697050493894,2.0
107,[ 3 32],6.2844168323138385,4.0
108,[ 7 34],3.3807957407059375,2.0
112,[35 52],7.186050375141103,6.0
113,[ 9 34],6.340925087369257,5.0
114,[56 46],15.528225914043091,10.0
115,[52 73],16.107162291877234,10.0
116,[56 97],4.406738684882125,3.0
117,[64 19],16.987299935443684,10.0
118,[46 64],5.156211379557672,4.0
